               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.101,            0.029649,            0.026957,             0.03755,            0.083278,            0.011322,           0.0032117,            0.081566,            0.018598,            0.023284,             0.07008,           0.0033245,           0.0033245
                   1,            0.076338,             0.03023,             0.01987,             0.16087,              0.1319,            0.068738,            0.020963,            0.071875,            0.018001,            0.015334,            0.039948,            0.006526,            0.006526
                   2,             0.07191,            0.029276,            0.013349,             0.20757,              0.1876,             0.10027,            0.031123,            0.069315,            0.018052,            0.010867,           0.0096841,           0.0095955,           0.0095955
                   3,            0.069613,            0.029346,             0.01177,             0.28927,             0.22827,             0.16278,            0.048601,            0.068279,            0.017966,           0.0097941,            0.009406,            0.009406,            0.009406
                   4,             0.06719,            0.029117,            0.010254,             0.33821,             0.25484,             0.19765,            0.061726,            0.064156,            0.017223,           0.0071226,            0.009406,            0.009406,            0.009406
                   5,             0.06509,            0.029155,           0.0096767,               0.347,             0.24959,             0.21355,            0.072768,            0.063325,            0.017013,           0.0079593,            0.009208,            0.009208,            0.009208
                   6,            0.063005,            0.028847,           0.0074909,             0.37855,             0.30748,             0.25388,            0.083522,            0.061063,            0.017539,           0.0059196,             0.00901,             0.00901,             0.00901
                   7,            0.061473,            0.027363,           0.0073535,             0.48559,             0.36854,             0.34043,             0.12024,            0.058303,            0.016017,           0.0042695,            0.008812,            0.008812,            0.008812
                   8,            0.060046,            0.026888,           0.0064723,             0.54484,             0.40427,             0.38489,             0.13815,            0.056914,            0.015561,            0.004278,            0.008614,            0.008614,            0.008614
                   9,             0.05896,            0.027277,           0.0058504,             0.56593,             0.40895,             0.40221,             0.14338,            0.055296,            0.015565,           0.0037742,            0.008416,            0.008416,            0.008416
                  10,            0.057946,            0.025986,           0.0057587,             0.43605,             0.33986,             0.29964,             0.10723,             0.05887,            0.016244,           0.0067074,            0.008218,            0.008218,            0.008218
                  11,            0.056713,             0.02537,           0.0053332,             0.58605,             0.43157,             0.43345,             0.16446,            0.055527,            0.015206,           0.0028138,             0.00802,             0.00802,             0.00802
                  12,            0.055721,            0.024781,           0.0046089,             0.59049,             0.45425,             0.46875,             0.18212,            0.053041,            0.014854,            0.002952,            0.007822,            0.007822,            0.007822
                  13,            0.055273,              0.0251,           0.0046005,             0.63128,             0.47376,             0.48598,             0.18629,            0.053445,            0.014843,           0.0027617,            0.007624,            0.007624,            0.007624
                  14,            0.054615,            0.024643,           0.0038254,             0.60088,             0.48675,              0.4976,             0.18739,            0.052177,            0.014502,            0.003279,            0.007426,            0.007426,            0.007426
                  15,            0.053592,            0.024384,           0.0039919,             0.61041,             0.47174,             0.47327,             0.17844,            0.052245,            0.014701,            0.002879,            0.007228,            0.007228,            0.007228
                  16,            0.053354,            0.023767,           0.0034448,             0.58327,             0.50182,             0.49591,             0.19679,            0.052436,            0.014539,           0.0022913,             0.00703,             0.00703,             0.00703
                  17,            0.052257,             0.02423,           0.0034877,             0.59764,             0.51687,             0.50763,             0.20246,             0.05107,            0.014318,           0.0026297,            0.006832,            0.006832,            0.006832
                  18,            0.051909,            0.023737,           0.0037483,             0.62141,             0.49329,             0.50239,             0.20041,            0.051644,            0.014563,           0.0023017,            0.006634,            0.006634,            0.006634
                  19,            0.051342,            0.023383,            0.003227,             0.65522,             0.50469,             0.53048,             0.21748,            0.050043,            0.014036,           0.0026584,            0.006436,            0.006436,            0.006436
                  20,            0.050918,            0.023486,           0.0031009,               0.631,             0.52306,             0.53953,             0.22182,            0.049603,            0.014001,           0.0026079,            0.006238,            0.006238,            0.006238
                  21,            0.050231,            0.023346,           0.0028481,              0.6518,             0.53908,             0.54834,             0.22043,            0.049785,            0.013664,           0.0020298,             0.00604,             0.00604,             0.00604
                  22,            0.049282,            0.022399,           0.0026067,             0.65505,             0.53604,             0.55602,             0.22768,            0.049316,            0.013878,           0.0025114,            0.005842,            0.005842,            0.005842
                  23,            0.049441,            0.022157,           0.0026018,             0.65933,             0.55236,              0.5727,             0.23983,            0.048906,            0.013563,           0.0024577,            0.005644,            0.005644,            0.005644
                  24,            0.048689,            0.022353,           0.0022885,             0.68902,             0.57936,             0.58338,             0.24148,            0.049433,            0.013218,           0.0018825,            0.005446,            0.005446,            0.005446
                  25,            0.048035,            0.022225,           0.0026256,             0.67808,             0.57425,               0.588,             0.24759,            0.048518,            0.013387,           0.0020948,            0.005248,            0.005248,            0.005248
                  26,            0.047486,            0.022193,           0.0021667,             0.70358,              0.5819,             0.59926,              0.2564,            0.048297,            0.013143,           0.0022285,             0.00505,             0.00505,             0.00505
                  27,            0.047364,            0.021452,           0.0023342,             0.68698,             0.58009,             0.59141,             0.25632,            0.048373,            0.013285,           0.0019385,            0.004852,            0.004852,            0.004852
                  28,            0.046729,              0.0213,           0.0020976,               0.698,             0.58258,             0.60034,             0.26082,            0.047643,            0.013181,           0.0017338,            0.004654,            0.004654,            0.004654
                  29,            0.046163,             0.02114,           0.0017782,              0.6807,             0.58554,             0.58974,             0.25187,            0.047804,            0.013307,           0.0018622,            0.004456,            0.004456,            0.004456
                  30,            0.045457,            0.021382,           0.0018205,             0.68179,             0.60235,             0.60112,             0.26076,            0.047737,            0.013077,           0.0018859,            0.004258,            0.004258,            0.004258
                  31,            0.045691,             0.02078,           0.0019492,             0.69167,             0.58121,             0.59848,             0.25482,            0.048095,            0.013179,            0.001603,             0.00406,             0.00406,             0.00406
                  32,            0.045301,            0.020589,           0.0017481,              0.6979,             0.59809,             0.60961,             0.26769,            0.047286,            0.013062,            0.001744,            0.003862,            0.003862,            0.003862
                  33,             0.04456,            0.020754,           0.0016879,              0.7184,             0.59485,             0.62109,             0.27608,            0.047128,            0.012983,           0.0023073,            0.003664,            0.003664,            0.003664
                  34,            0.044221,            0.020916,           0.0016065,             0.69763,             0.59575,             0.60773,             0.27037,              0.0475,            0.013093,           0.0018865,            0.003466,            0.003466,            0.003466
                  35,            0.044309,            0.020303,           0.0015694,             0.67779,             0.62335,              0.6136,             0.27569,            0.047233,            0.012915,            0.001861,            0.003268,            0.003268,            0.003268
                  36,            0.044165,            0.020274,           0.0015998,             0.69117,             0.61808,             0.61718,             0.27737,            0.046346,            0.012979,           0.0018138,             0.00307,             0.00307,             0.00307
                  37,            0.043896,            0.020653,           0.0015709,             0.70191,             0.61109,             0.61796,              0.2722,            0.046671,            0.012877,           0.0018394,            0.002872,            0.002872,            0.002872
                  38,              0.0429,            0.020443,           0.0012765,             0.69359,             0.63534,             0.64026,             0.28073,             0.04626,            0.012821,           0.0017435,            0.002674,            0.002674,            0.002674
                  39,            0.043216,            0.020192,           0.0012858,             0.70624,             0.61994,             0.63272,             0.28364,             0.04588,            0.012848,           0.0018197,            0.002476,            0.002476,            0.002476
                  40,            0.042931,            0.019935,           0.0013679,             0.70544,             0.63718,             0.63756,             0.28763,            0.045456,            0.012836,            0.001577,            0.002278,            0.002278,            0.002278
                  41,            0.041783,            0.019936,           0.0013665,             0.70943,              0.6365,             0.64128,             0.28638,            0.045708,            0.012733,           0.0014503,             0.00208,             0.00208,             0.00208
                  42,            0.041673,            0.019531,           0.0012487,             0.71469,             0.62051,             0.63947,              0.2925,            0.045671,            0.012711,           0.0015027,            0.001882,            0.001882,            0.001882
                  43,            0.041566,             0.01946,           0.0012433,             0.70602,             0.64073,             0.64555,             0.29468,            0.045274,            0.012669,           0.0016851,            0.001684,            0.001684,            0.001684
                  44,            0.041314,             0.01931,           0.0014029,             0.70665,             0.64327,             0.64447,             0.29362,            0.045306,            0.012666,           0.0014092,            0.001486,            0.001486,            0.001486
                  45,            0.040803,            0.019329,           0.0011603,             0.69883,             0.64704,              0.6496,             0.29586,             0.04522,            0.012645,           0.0015731,            0.001288,            0.001288,            0.001288
                  46,            0.041121,            0.018656,           0.0011344,             0.69243,             0.65342,             0.64393,             0.29696,            0.045118,            0.012736,           0.0015822,             0.00109,             0.00109,             0.00109
                  47,            0.040211,             0.01902,           0.0010901,             0.71716,             0.63276,             0.64275,             0.29495,            0.045149,            0.012662,           0.0016781,            0.000892,            0.000892,            0.000892
                  48,            0.040457,            0.018818,           0.0011722,             0.72826,             0.63842,              0.6476,             0.29886,            0.045025,            0.012566,           0.0013926,            0.000694,            0.000694,            0.000694
                  49,              0.0403,             0.01942,           0.0011987,             0.73062,             0.63053,             0.64917,             0.29984,            0.044808,            0.012606,           0.0013209,            0.000496,            0.000496,            0.000496
